id,privacyStatus,title,publishedDate,duration,tags,views,likes,comments,topicCategories,liveStreamActualStartTime,liveStreamActualEndTime,liveStreamScheduledStartTime,localizations
-OBrUadxwEI,public,【fes情報解禁】#2 「キャプチャークイズ」で重大情報をつかみ取れ！【#hololivefesEXPO24】,2023-12-05T12:12:50Z,PT1H5M47S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '夜空メル', 'アキ・ローゼンタール', '桃鈴ねね', '鷹嶺ルイ', 'EXPO', 'fes', 'ライブ', '5th', 'エキスポ', 'フェス', 'クイズ']",131159,9910,42,['https://en.wikipedia.org/wiki/Video_game_culture'],2023-12-05T11:00:39Z,2023-12-05T12:06:36Z,2023-12-05T11:00:00Z,[]
VlqqXAdmyW4,public,【新ボイス発表】メリークリスマス！プレゼントを受け取る準備はOK？,2023-12-04T10:30:07Z,PT2M,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'クリスマス', 'ボイス']",104478,9322,239,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",2023-12-04T10:30:07Z,2023-12-04T10:33:06Z,2023-12-04T10:30:00Z,['en']
JCRs53hLK4c,public,【ホロぐら次回予告】高輪ゲートウェイ駅の語呂合わせ #ホロぐら #姫森ルーナ #大神ミオ #ホロライブ #hololive #昨日の次回予告,2023-12-04T10:00:12Z,PT26S,[],307140,20161,198,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']",,,,[]
_s0zJBFHDm8,public,【技術革命】AI「全てワタシが担当しました」【#AI台本】,2023-12-04T09:00:08Z,PT13M48S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'ロボ子さん', 'アキ・ローゼンタール', '博衣こより', 'AI', '台本', 'ChatGPT', 'Robocosan', 'Aki Rosenthal', 'Hakui Koyori']",92191,6621,142,['https://en.wikipedia.org/wiki/Video_game_culture'],2023-12-04T09:00:08Z,2023-12-04T09:15:54Z,2023-12-04T09:00:00Z,"['en', 'es']"
8UNGGC_EGu4,public,"【3D】あやふぶみの""いろはにまったりお正月""～こたつで丸くなるおにけもの会～【#いろはにまったりお正月】",2023-12-04T05:01:44Z,P0D,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '年始', '特番', 'いろはにほへっとあやふぶみ', 'いろはに', '白上フブキ', '大神ミオ', '百鬼あやめ', 'Shirakami Fubuki', 'Ookami Mio', 'Nakiri Ayame', 'さくらみこ', 'ロボ子さん', '鷹嶺ルイ', 'Sakura Miko', 'Robocosan', 'Takane Lui']",0,811,0,[],,,2024-01-01T04:00:00Z,[]
DzP0jXgOC4I,public,hololive production COUNTDOWN LIVE 2023▷2024 -hololive side-,2023-12-04T04:50:30Z,P0D,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'hololive production COUNTDOWN LIVE 2023▷2024 -hololive side-', '年末', '年始', '年越し', '特番', 'ライブ', 'LIVE', '年末年始はホロライブと！']",0,1733,0,[],,,2023-12-31T14:00:00Z,[]
p2jx9H5Ck74,public,年末ホロライブ  ～ゆくホロくるホロ 2023▷2024～【#ゆくホロくるホロ2023】,2023-12-04T04:44:31Z,P0D,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', '年末', '年始', '年の瀬', 'お正月', '年越し', '特番', 'ゆくホロくるホロ', '夜空メル', 'アキ・ローゼンタール', 'ポルカ', '轟はじめ', 'フワワ・アビスガード', 'モココ・アビスガード', 'さくらみこ', '星街すいせい', 'ラプラス・ダークネス', '鷹嶺ルイ', '火威青', '音乃瀬奏', '一条莉々華', '湊あくあ', '大空スバル', '兎田ぺこら', '宝鐘マリン', '常闇トワ', '白銀ノエル', '桃鈴ねね', '獅白ぼたん', '博衣こより', '沙花叉クロヱ', '風真いろは', 'ロボ子さん', '儒烏風亭らでん']",0,2602,0,['https://en.wikipedia.org/wiki/Music'],,,2023-12-31T09:00:00Z,[]
HfCk1ihvan8,public,【アニメ】みんながメロメロになる衣装,2023-12-03T09:00:16Z,PT1M53S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'yt:cc=on']",494338,35103,876,[],,,,"['zh-Hans', 'ko', 'zh-Hant', 'en', 'id', 'es']"
7R2Q1xjz8eU,public,【LIVEあり！ゲストあり！】holoXついに◯◯進出！？刮目せよ！我ら #SSholoX2周年,2023-12-02T13:18:34Z,PT1H15M23S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR', 'holoX', '2周年', 'ラプラス・ダークネス', '鷹嶺ルイ', '博衣こより', '沙花叉クロヱ', '風真いろは', 'アキ・ローゼンタール', 'ロボ子さん', '常闇トワ', '白銀ノエル']",524859,30753,284,[],2023-12-02T11:58:06Z,2023-12-02T13:13:33Z,2023-12-02T12:00:00Z,[]
gIX8TKu99ig,public,【MV】饗宴ソリダリティ～SHAKE★NABE～ / 秘密結社holoX【#SSholoX】,2023-12-02T13:15:08Z,PT3M48S,"['hololive', 'ホロライブ', 'VTuber', 'バーチャルYouTuber', 'VR']",230594,18194,513,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",2023-12-02T13:15:08Z,2023-12-02T13:20:53Z,2023-12-02T13:15:00Z,['en']
